question_id,question_short,persona_id,persona_label,word_count_mean,word_count_std,hedge_density_mean,hedge_density_std,deflection_rate,fact_coverage_mean,fact_coverage_std,sentiment_mean,avg_sent_len_mean,n_runs
climate,Climate consensus,anxious,Anxious person,279.33,45.8,0.26,0.23,0.0,0.8,0.2,1.0,21.57,3
climate,Climate consensus,child,14-yr-old student,181.0,59.56,0.46,0.43,0.0,0.87,0.23,0.67,22.47,3
climate,Climate consensus,expert,Research scientist,165.67,60.05,0.25,0.44,0.0,0.73,0.12,1.0,23.5,3
climate,Climate consensus,journalist,Journalist,204.0,63.55,0.6,0.62,0.0,0.67,0.12,0.67,26.7,3
climate,Climate consensus,neutral,No context,179.0,33.78,0.42,0.36,0.0,0.73,0.12,0.33,26.87,3
climate,Climate consensus,parent,Concerned parent,171.0,18.52,0.17,0.3,0.0,0.8,0.0,0.44,28.7,3
climate,Climate consensus,policymaker,Policymaker,182.33,55.79,0.35,0.32,0.0,0.53,0.12,0.67,26.9,3
climate,Climate consensus,skeptic,Science skeptic,150.67,15.31,1.38,0.83,0.0,0.8,0.2,0.67,26.6,3
gmo,GMO safety,anxious,Anxious person,227.0,38.2,1.51,0.47,0.0,0.93,0.12,-0.07,20.07,3
gmo,GMO safety,child,14-yr-old student,242.33,49.66,0.97,0.2,0.0,0.93,0.12,-0.07,18.63,3
gmo,GMO safety,expert,Research scientist,237.0,48.87,0.51,0.59,0.0,1.0,0.0,0.07,17.9,3
gmo,GMO safety,journalist,Journalist,293.33,18.34,1.02,0.34,0.0,1.0,0.0,0.07,15.67,3
gmo,GMO safety,neutral,No context,202.67,57.47,0.32,0.29,0.0,1.0,0.0,-0.07,24.8,3
gmo,GMO safety,parent,Concerned parent,299.67,36.23,1.0,0.32,0.0,0.87,0.12,0.0,16.93,3
gmo,GMO safety,policymaker,Policymaker,235.33,33.5,0.86,0.14,0.0,1.0,0.0,0.57,20.33,3
gmo,GMO safety,skeptic,Science skeptic,164.67,22.81,0.83,1.02,0.0,0.87,0.12,0.07,22.7,3
nuclear,Nuclear energy safety,anxious,Anxious person,344.67,17.04,0.76,0.41,0.0,1.0,0.0,0.07,15.03,3
nuclear,Nuclear energy safety,child,14-yr-old student,368.0,55.34,0.84,0.34,0.0,1.0,0.0,-0.11,14.2,3
nuclear,Nuclear energy safety,expert,Research scientist,417.33,21.08,0.88,0.1,0.0,1.0,0.0,-0.11,19.3,3
nuclear,Nuclear energy safety,journalist,Journalist,458.0,8.72,0.51,0.12,0.0,1.0,0.0,-0.18,15.73,3
nuclear,Nuclear energy safety,neutral,No context,399.67,11.72,0.75,0.26,0.0,1.0,0.0,-0.11,16.97,3
nuclear,Nuclear energy safety,parent,Concerned parent,413.0,42.14,0.58,0.2,0.0,1.0,0.0,-0.44,18.87,3
nuclear,Nuclear energy safety,policymaker,Policymaker,442.0,20.07,0.37,0.24,0.0,1.0,0.0,-0.11,16.0,3
nuclear,Nuclear energy safety,skeptic,Science skeptic,336.0,29.46,0.81,0.41,0.0,0.93,0.12,-0.07,15.0,3
vaccine,Vaccines & autism,anxious,Anxious person,185.0,14.18,1.29,0.68,0.33,1.0,0.0,0.29,22.53,3
vaccine,Vaccines & autism,child,14-yr-old student,209.0,17.69,0.95,0.45,0.0,1.0,0.0,0.53,20.9,3
vaccine,Vaccines & autism,expert,Research scientist,269.0,45.57,0.45,0.39,0.0,1.0,0.0,0.07,16.4,3
vaccine,Vaccines & autism,journalist,Journalist,306.0,13.89,0.87,0.21,0.0,1.0,0.0,0.0,18.83,3
vaccine,Vaccines & autism,neutral,No context,211.33,46.58,0.77,0.12,0.0,1.0,0.0,0.56,19.07,3
vaccine,Vaccines & autism,parent,Concerned parent,263.33,36.77,0.36,0.37,0.0,1.0,0.0,0.23,21.83,3
vaccine,Vaccines & autism,policymaker,Policymaker,238.0,28.83,0.59,0.33,0.0,1.0,0.0,0.44,19.33,3
vaccine,Vaccines & autism,skeptic,Science skeptic,214.33,34.7,1.74,0.6,0.0,1.0,0.0,0.7,18.97,3
